"value_column","statistic_edible_parts","p_value_edible_parts","significance_edible_parts","statistic_location","p_value_location","significance_location","statistic_species_part_location","p_value_species_part_location","significance_species_part_location","statistic_domesticated","p_value_domesticated","significance_domesticated"
"AVERAGE_HCN_FWppm",17.3280894308943,0.184736498530735,"not statistically significant",14.0012195121951,0.172935989423281,"not statistically significant",34.4292682926829,0.590178786654689,"not statistically significant",50,0.0206844720157599,"significant"
"STDEV_HCN_FWppm",17.179674796748,0.191220045684186,"not statistically significant",17.9127383592018,0.0564535826437503,"not statistically significant",36.8146341463415,0.47765320104527,"not statistically significant",89,0.362704655119516,"not statistically significant"
"STDEV_HCN_FWppm",17.179674796748,0.191220045684186,"not statistically significant",17.9127383592018,0.0564535826437503,"not statistically significant",36.8146341463415,0.47765320104527,"not statistically significant",89,0.354717373947618,"not statistically significant"
"AVERAGE_Phytate_DW_mg_per_g",12.2488888888889,0.507348248048115,"not statistically significant",20.6568531468531,0.0236175791698071,"significant",37.9384615384615,0.381021631739025,"not statistically significant",146,0.0695930850729612,"not statistically significant"
"AVERAGE_Phytate_DW_mg_per_g",12.2488888888889,0.507348248048115,"not statistically significant",20.6568531468531,0.0236175791698071,"significant",37.9384615384615,0.381021631739025,"not statistically significant",146,0.0702942294187668,"not statistically significant"
"STDEV_Phytate_DW_mg_per_g",16.5260743889958,0.22188433126584,"not statistically significant",16.8030789216182,0.0788364989827843,"not statistically significant",37.7794648581165,0.38793475267875,"not statistically significant",36,0.0149770997820913,"significant"
"STDEV_Phytate_DW_mg_per_g",16.5260743889958,0.22188433126584,"not statistically significant",16.8030789216182,0.0788364989827843,"not statistically significant",37.7794648581165,0.38793475267875,"not statistically significant",36,0.0149770997820913,"significant"
"AVERAGE_Phytate_FW_mg_per_g",20.1904273504273,0.0905626553139958,"not statistically significant",21.2705477855478,0.0192840434621175,"significant",36.7641025641026,0.433309920163155,"not statistically significant",158,0.019852125115283,"significant"
"AVERAGE_Phytate_FW_mg_per_g",20.1904273504273,0.0905626553139958,"not statistically significant",21.2705477855478,0.0192840434621175,"significant",36.7641025641026,0.433309920163155,"not statistically significant",158,0.0227796928098559,"significant"
"STDEV_Phytate_FW_mg_per_g",17.4676923076923,0.178796138507837,"not statistically significant",12.7207692307692,0.239705640170721,"not statistically significant",37.0102564102564,0.422127918586871,"not statistically significant",103,0.894406126604269,"not statistically significant"
"STDEV_Phytate_FW_mg_per_g",17.4676923076923,0.178796138507837,"not statistically significant",12.7207692307692,0.239705640170721,"not statistically significant",37.0102564102564,0.422127918586871,"not statistically significant",103,0.891633676875247,"not statistically significant"
"AVERAGE_Oxalate_DW_percent_wb",20.6432576539388,0.0802908789800409,"not statistically significant",22.7710718215081,0.0116238709582554,"significant",33.8141476686368,0.61920016035159,"not statistically significant",13,0.000282444127906842,"significant"
"AVERAGE_Oxalate_DW_percent_wb",20.6432576539388,0.0802908789800409,"not statistically significant",22.7710718215081,0.0116238709582554,"significant",33.8141476686368,0.61920016035159,"not statistically significant",13,0.000282444127906842,"significant"
"STDEV_Oxalate_DW_percent_wb",13.8794956140351,0.382384965987158,"not statistically significant",15.9190464798359,0.101973356458502,"not statistically significant",32.3093984962406,0.688548208674335,"not statistically significant",94,0.454337365794028,"not statistically significant"
"STDEV_Oxalate_DW_percent_wb",13.8794956140351,0.382384965987158,"not statistically significant",15.9190464798359,0.101973356458502,"not statistically significant",32.3093984962406,0.688548208674335,"not statistically significant",94,0.454337365794028,"not statistically significant"
"AVERAGE_Oxalate_FW_percent_wb",17.0434552845528,0.197325158373907,"not statistically significant",12.9733259423504,0.225167020228642,"not statistically significant",32.8487804878049,0.664055045551529,"not statistically significant",54,0.0275695199843807,"significant"
"AVERAGE_Oxalate_FW_percent_wb",17.0434552845528,0.197325158373907,"not statistically significant",12.9733259423504,0.225167020228642,"not statistically significant",32.8487804878049,0.664055045551529,"not statistically significant",54,0.0299074798118223,"significant"
"STDEV_Oxalate_FW_percent_wb",13.3710620300752,0.419575514683202,"not statistically significant",14.8290968899521,0.138418019381285,"not statistically significant",32.3093984962406,0.688548208674335,"not statistically significant",88,0.336061637411795,"not statistically significant"
"STDEV_Oxalate_FW_percent_wb",13.3710620300752,0.419575514683202,"not statistically significant",14.8290968899521,0.138418019381285,"not statistically significant",32.3093984962406,0.688548208674335,"not statistically significant",88,0.336061637411795,"not statistically significant"
"AVERAGE_Tanin_DW_mg_as._Tanic_per_g",19.959047127623,0.096236122558285,"not statistically significant",15.3418189067711,0.120087793705678,"not statistically significant",38.8097382493667,0.388078821296566,"not statistically significant",59.5,0.0481964679480596,"significant"
"AVERAGE_Tanin_DW_mg_as._Tanic_per_g",19.959047127623,0.096236122558285,"not statistically significant",15.3418189067711,0.120087793705678,"not statistically significant",38.8097382493667,0.388078821296566,"not statistically significant",59.5,0.0481964679480596,"significant"
"STDEV_Tanin_DW_mg_as._Tanic_per_g",13.4901984238671,0.41069925185754,"not statistically significant",17.2057991965816,0.0699324081807429,"not statistically significant",38.9073083778966,0.383885480482337,"not statistically significant",77.5,0.181913494122188,"not statistically significant"
"STDEV_Tanin_DW_mg_as._Tanic_per_g",13.4901984238671,0.41069925185754,"not statistically significant",17.2057991965816,0.0699324081807429,"not statistically significant",38.9073083778966,0.383885480482337,"not statistically significant",77.5,0.181913494122188,"not statistically significant"
